id,class,order,family,species,iucn,criteria,population,systems,realm
56077069,Reptilia,Squamata,Liolaemidae,Liolaemus melaniceps,LC,,Unknown,Terrestrial,Neotropical
56077083,Reptilia,Squamata,Liolaemidae,Liolaemus melanopleurus,DD,,Unknown,Terrestrial,Neotropical
56077101,Reptilia,Squamata,Liolaemidae,Liolaemus melanops,LC,,Stable,Terrestrial,Neotropical
56077110,Reptilia,Squamata,Liolaemidae,Liolaemus millcayac,LC,,Unknown,Terrestrial,Neotropical
56077250,Reptilia,Squamata,Liolaemidae,Liolaemus molinai,LC,,Stable,Terrestrial,Neotropical
56077261,Reptilia,Squamata,Liolaemidae,Liolaemus montanezi,DD,,Unknown,Terrestrial,Neotropical
56077275,Reptilia,Squamata,Liolaemidae,Liolaemus montanus,LC,,Unknown,Terrestrial,Neotropical
56077298,Reptilia,Squamata,Liolaemidae,Liolaemus monticola,LC,,Stable,Terrestrial,Neotropical
56077311,Reptilia,Squamata,Liolaemidae,Liolaemus moradoensis,LC,,Stable,Terrestrial,Neotropical
56077327,Reptilia,Squamata,Liolaemidae,Liolaemus morandae,LC,,Unknown,Terrestrial,Neotropical
56077336,Reptilia,Squamata,Liolaemidae,Liolaemus morenoi,VU,D2,Unknown,Terrestrial,Neotropical
56077592,Reptilia,Squamata,Liolaemidae,Liolaemus multicolor,LC,,Stable,Terrestrial,Neotropical
